ActorId,obs_date,n_events_Sum_12M,AvgTone_Avg_12M,AvgTone_Max_12M,AvgTone_Min_12M,NumMentions_Sum_12M,NumMentions_Avg_12M,NumSources_Sum_12M,NumSources_Avg_12M,GoldsteinScale_Avg_12M,GoldsteinScale_Max_12M,GoldsteinScale_Min_12M
GRC_THESSALONIKI,12/31/2014,30,2.130274091,5.351170569,0,348,11,45,1,1.456666,7,-10
GRCBUS_GREECE,12/31/2014,9,1.600817661,2.538071066,0.514138817,36,4,10,1,3.266666,7.4,-0.4
GRCBUS_GREEK,12/31/2014,25,1.546447507,4.459528425,0,588,23,85,3,0.924,7.4,-4
GRCCHRCTH_GREECE,12/31/2014,2,2.678899083,4.357798165,1,4,2,2,1,0.75,1.9,-0.4
GRCCHRCTH_GREEK,12/31/2014,11,3.183636583,4.357798165,1,78,7,11,1,-0.545454,7,-10
GRCCOP_ATHENS,12/31/2014,1,1.315789474,1.315789474,1.315789474,4,4,1,1,-5,-5,-5
GRCCOP_GREECE,12/31/2014,6,1.144117661,1.601423488,0,16,2,6,1,-5.333333,-2,-10
GRCCOP_GREEK,12/31/2014,4,1.1186314,1.710526316,0.862068966,27,6,4,1,-8.5,-5,-10
GRCCOP_THESSALONIKI,12/31/2014,1,0,0,0,10,10,1,1,-5,-5,-5
GRCCRM_GREECE,12/31/2014,2,2.770506108,2.770506108,2.770506108,10,5,2,1,-2,-2,-2
GRCCVL_CRETE,12/31/2014,2,0.793650794,0.793650794,0.793650794,10,5,2,1,-0.4,-0.4,-0.4
GRCCVL_GREECE,12/31/2014,11,1.714579378,3.296703297,1.086956522,18,1,11,1,1.354545,7,-10
GRCCVL_GREEK,12/31/2014,4,0.563301304,1.362088536,0,35,8,7,1,0.9,4,-4
GRCEDU_ATHENS,12/31/2014,6,6.690140845,6.690140845,6.690140845,40,6,6,1,2.9,4,1.9
GRCEDU_CRETE,12/31/2014,2,-5.912068033,-5.899280576,-5.924855491,4,2,2,1,3.4,3.4,3.4
GRCEDU_GREECE,12/31/2014,3,3.818337306,5.465414176,0.586510264,4,1,3,1,-1.2,2.8,-9.2
GRCEDU_RHODES,12/31/2014,2,3.534607688,3.953488372,3.115727003,13,6,2,1,4.65,7.4,1.9
GRCEDU_THESSALONIKI,12/31/2014,6,1.752007877,2.173913043,1.477832512,40,6,8,1,2.35,2.8,1.9
